(bronc ⟂ asia, tub)
(bronc ⟂ asia | tub)
(smoke ⟂ tub | bronc, asia)
(smoke ⟂ asia, tub, xray, dysp | bronc, lung)
(smoke ⟂ asia | bronc, xray)
(smoke ⟂ asia | tub, dysp)
(smoke ⟂ asia, xray | tub, lung)
(smoke ⟂ asia | tub, xray)
(smoke ⟂ asia | lung, dysp)
(smoke ⟂ asia | xray, dysp)
(smoke ⟂ tub, xray | asia, lung)
(smoke ⟂ asia, tub | lung, xray)
(smoke ⟂ asia | bronc, tub, dysp)
(smoke ⟂ asia, xray, dysp | bronc, tub, lung)
(smoke ⟂ asia | bronc, tub, xray)
(smoke ⟂ asia, tub, xray | bronc, lung, dysp)
(smoke ⟂ asia | bronc, xray, dysp)
(smoke ⟂ tub, xray, dysp | bronc, lung, asia)
(smoke ⟂ asia, tub, dysp | bronc, lung, xray)
(smoke ⟂ asia, xray | tub, lung, dysp)
(smoke ⟂ asia | tub, xray, dysp)
(smoke ⟂ xray | asia, tub, lung)
(smoke ⟂ asia | tub, xray, lung)
(smoke ⟂ asia | lung, xray, dysp)
(smoke ⟂ tub | asia, lung, xray)
(smoke ⟂ asia, xray | bronc, tub, lung, dysp)
(smoke ⟂ asia | bronc, tub, xray, dysp)
(smoke ⟂ xray, dysp | bronc, tub, lung, asia)
(smoke ⟂ asia, dysp | bronc, tub, xray, lung)
(smoke ⟂ tub, xray | bronc, asia, lung, dysp)
(smoke ⟂ asia, tub | bronc, lung, xray, dysp)
(smoke ⟂ tub, dysp | bronc, lung, xray, asia)
(smoke ⟂ xray | asia, tub, lung, dysp)
(smoke ⟂ asia | tub, lung, xray, dysp)
(smoke ⟂ xray | dysp, asia, bronc, tub, lung)
(smoke ⟂ asia | dysp, xray, bronc, tub, lung)
(smoke ⟂ dysp | asia, xray, bronc, tub, lung)
(smoke ⟂ tub | dysp, asia, xray, bronc, lung)
(xray ⟂ asia)
(xray ⟂ asia | bronc)
(xray ⟂ asia | tub)
(xray ⟂ asia | dysp)
(xray ⟂ asia, smoke, bronc | lung)
(xray ⟂ asia, bronc | smoke)
(xray ⟂ asia | bronc, tub)
(xray ⟂ asia | bronc, dysp)
(xray ⟂ asia, smoke | bronc, lung)
(xray ⟂ asia | bronc, smoke)
(xray ⟂ asia | tub, dysp)
(xray ⟂ bronc, smoke, dysp, asia | tub, lung)
(xray ⟂ bronc, asia | tub, smoke)
(xray ⟂ asia | lung, dysp)
(xray ⟂ asia | smoke, dysp)
(xray ⟂ bronc, smoke | asia, lung)
(xray ⟂ bronc | asia, smoke)
(xray ⟂ bronc, asia | lung, smoke)
(xray ⟂ asia | bronc, tub, dysp)
(xray ⟂ asia, smoke, dysp | bronc, tub, lung)
(xray ⟂ asia | bronc, tub, smoke)
(xray ⟂ asia, smoke | bronc, lung, dysp)
(xray ⟂ asia | bronc, smoke, dysp)
(xray ⟂ smoke | bronc, lung, asia)
(xray ⟂ asia | bronc, lung, smoke)
(xray ⟂ bronc, smoke, asia | tub, lung, dysp)
(xray ⟂ asia | tub, smoke, dysp)
(xray ⟂ bronc, smoke, dysp | asia, tub, lung)
(xray ⟂ bronc | asia, tub, smoke)
(xray ⟂ bronc, dysp, asia | tub, smoke, lung)
(xray ⟂ asia | lung, smoke, dysp)
(xray ⟂ bronc | asia, lung, smoke)
(xray ⟂ asia, smoke | bronc, tub, lung, dysp)
(xray ⟂ asia | bronc, tub, smoke, dysp)
(xray ⟂ smoke, dysp | bronc, tub, lung, asia)
(xray ⟂ asia, dysp | bronc, tub, smoke, lung)
(xray ⟂ smoke | bronc, asia, lung, dysp)
(xray ⟂ asia | bronc, lung, smoke, dysp)
(xray ⟂ bronc, smoke | asia, tub, lung, dysp)
(xray ⟂ bronc, asia | tub, lung, smoke, dysp)
(xray ⟂ bronc, dysp | asia, tub, smoke, lung)
(xray ⟂ smoke | dysp, asia, bronc, tub, lung)
(xray ⟂ asia | dysp, smoke, bronc, tub, lung)
(xray ⟂ dysp | asia, smoke, bronc, tub, lung)
(xray ⟂ bronc | dysp, asia, smoke, tub, lung)
